PREDICTION RESULTS
------------------------------
379 pos. / 0 neg.  --> 100.0 % positives
------------------------------

sequence number, prediction by ensemble-model, probability
> 146, True, 0.963
> 147, True, 0.916
> 148, True, 0.934
> 149, True, 0.826
> 150, True, 0.939
> 151, True, 0.936
> 152, True, 0.941
> 153, True, 0.97
> 154, True, 0.787
> 155, True, 0.855
> 156, True, 0.834
> 157, True, 0.762
> 158, True, 0.956
> 159, True, 0.875
> 160, True, 0.841
> 161, True, 0.936
> 162, True, 0.892
> 163, True, 0.864
> 164, True, 0.894
> 165, True, 0.801
> 166, True, 0.82
> 167, True, 0.79
> 168, True, 0.961
> 169, True, 0.964
> 170, True, 0.911
> 171, True, 0.939
> 172, True, 0.918
> 173, True, 0.922
> 174, True, 0.791
> 175, True, 0.908
> 176, True, 0.828
> 177, True, 0.857
> 178, True, 0.883
> 179, True, 0.636
> 180, True, 0.902
> 181, True, 0.772
> 182, True, 0.754
> 183, True, 0.776
> 184, True, 0.82
> 185, True, 0.662
> 186, True, 0.903
> 187, True, 0.894
> 188, True, 0.682
> 189, True, 0.93
> 190, True, 0.913
> 191, True, 0.968
> 192, True, 0.851
> 193, True, 0.947
> 194, True, 0.912
> 195, True, 0.881
> 196, True, 0.801
> 197, True, 0.924
> 198, True, 0.846
> 199, True, 0.908
> 200, True, 0.888
> 201, True, 0.844
> 202, True, 0.966
> 203, True, 0.978
> 204, True, 0.897
> 205, True, 0.964
> 206, True, 0.97
> 207, True, 0.951
> 208, True, 0.964
> 209, True, 0.846
> 210, True, 0.899
> 211, True, 0.753
> 212, True, 0.692
> 213, True, 0.936
> 214, True, 0.826
> 215, True, 0.93
> 216, True, 0.913
> 217, True, 0.966
> 218, True, 0.971
> 219, True, 0.968
> 220, True, 0.903
> 221, True, 0.951
> 222, True, 0.903
> 223, True, 0.88
> 224, True, 0.909
> 225, True, 0.979
> 226, True, 0.875
> 227, True, 0.925
> 228, True, 0.925
> 229, True, 0.955
> 230, True, 0.895
> 231, True, 0.877
> 232, True, 0.974
> 233, True, 0.939
> 234, True, 0.974
> 235, True, 0.778
> 236, True, 0.958
> 237, True, 0.941
> 238, True, 0.963
> 239, True, 0.931
> 240, True, 0.729
> 241, True, 0.789
> 242, True, 0.721
> 243, True, 0.775
> 244, True, 0.706
> 245, True, 0.806
> 246, True, 0.7
> 247, True, 0.953
> 248, True, 0.924
> 249, True, 0.886
> 250, True, 0.909
> 251, True, 0.958
> 252, True, 0.937
> 253, True, 0.906
> 254, True, 0.87
> 255, True, 0.881
> 256, True, 0.832
> 257, True, 0.878
> 258, True, 0.903
> 259, True, 0.87
> 260, True, 0.872
> 261, True, 0.967
> 262, True, 0.968
> 263, True, 0.788
> 264, True, 0.963
> 265, True, 0.97
> 266, True, 0.887
> 267, True, 0.864
> 268, True, 0.981
> 269, True, 0.936
> 270, True, 0.837
> 271, True, 0.86
> 272, True, 0.951
> 273, True, 0.957
> 274, True, 0.945
> 275, True, 0.842
> 276, True, 0.927
> 277, True, 0.974
> 278, True, 0.939
> 279, True, 0.905
> 280, True, 0.887
> 281, True, 0.969
> 282, True, 0.8
> 283, True, 0.979
> 284, True, 0.841
> 285, True, 0.971
> 286, True, 0.964
> 287, True, 0.981
> 288, True, 0.972
> 289, True, 0.93
> 290, True, 0.878
> 291, True, 0.916
> 292, True, 0.865
> 293, True, 0.903
> 294, True, 0.954
> 295, True, 0.925
> 296, True, 0.951
> 297, True, 0.918
> 298, True, 0.852
> 299, True, 0.893
> 300, True, 0.868
> 301, True, 0.83
> 302, True, 0.779
> 303, True, 0.843
> 304, True, 0.93
> 305, True, 0.851
> 306, True, 0.79
> 307, True, 0.961
> 308, True, 0.899
> 309, True, 0.896
> 310, True, 0.949
> 311, True, 0.97
> 312, True, 0.915
> 313, True, 0.868
> 314, True, 0.776
> 315, True, 0.89
> 316, True, 0.973
> 317, True, 0.965
> 318, True, 0.973
> 319, True, 0.93
> 320, True, 0.951
> 321, True, 0.545
> 322, True, 0.95
> 323, True, 0.953
> 324, True, 0.923
> 325, True, 0.893
> 326, True, 0.903
> 327, True, 0.92
> 328, True, 0.895
> 329, True, 0.875
> 330, True, 0.921
> 331, True, 0.951
> 332, True, 0.929
> 333, True, 0.949
> 334, True, 0.939
> 335, True, 0.784
> 336, True, 0.902
> 337, True, 0.826
> 338, True, 0.9
> 339, True, 0.808
> 340, True, 0.883
> 341, True, 0.956
> 342, True, 0.961
> 343, True, 0.789
> 344, True, 0.892
> 345, True, 0.74
> 346, True, 0.922
> 347, True, 0.855
> 348, True, 0.908
> 349, True, 0.904
> 350, True, 0.879
> 351, True, 0.925
> 352, True, 0.897
> 353, True, 0.932
> 354, True, 0.944
> 355, True, 0.913
> 356, True, 0.945
> 357, True, 0.9
> 358, True, 0.907
> 359, True, 0.916
> 360, True, 0.885
> 361, True, 0.867
> 362, True, 0.898
> 363, True, 0.919
> 364, True, 0.926
> 365, True, 0.93
> 366, True, 0.89
> 367, True, 0.961
> 368, True, 0.929
> 369, True, 0.874
> 370, True, 0.947
> 371, True, 0.887
> 372, True, 0.947
> 373, True, 0.938
> 374, True, 0.924
> 375, True, 0.824
> 376, True, 0.912
> 377, True, 0.94
> 378, True, 0.943
